"DONNEES - Effectifs des médecins"
"ANNEE - 2018"
"SEXE - Ensemble tous sexes confondus"

,ZONE INSCRIPT,"FRANCE ENTIERE","FRANCE Métropolitaine","DROM","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val de Loire","Corse","Grand Est","Guadeloupe","Guyane","Hauts-de-France","Ile-de-France","La Réunion","Martinique","Mayotte","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d’Azur","01 - Ain","02 - Aisne","03 - Allier","04 - Alpes-de-Haute-Provence","05 - Hautes-Alpes","06 - Alpes-Maritimes","07 - Ardèche","08 - Ardennes","09 - Ariège","10 - Aube","11 - Aude","12 - Aveyron","13 - Bouches-du-Rhône","14 - Calvados","15 - Cantal","16 - Charente","17 - Charente-Maritime","18 - Cher","19 - Corrèze","2A - Corse-du-Sud","2B - Haute-Corse","21 - Côte-d’Or","22 - Côtes-d’Armor","23 - Creuse","24 - Dordogne","25 - Doubs","26 - Drôme","27 - Eure","28 - Eure-et-Loir","29 - Finistère","30 - Gard","31 - Haute-Garonne","32 - Gers","33 - Gironde","34 - Hérault","35 - Ille-et-Vilaine","36 - Indre","37 - Indre-et-Loire","38 - Isère","39 - Jura","40 - Landes","41 - Loir-et-Cher","42 - Loire","43 - Haute-Loire","44 - Loire-Atlantique","45 - Loiret","46 - Lot","47 - Lot-et-Garonne","48 - Lozère","49 - Maine-et-Loire","50 - Manche","51 - Marne","52 - Haute-Marne","53 - Mayenne","54 - Meurthe-et-Moselle","55 - Meuse","56 - Morbihan","57 - Moselle","58 - Nièvre","59 - Nord","60 - Oise","61 - Orne","62 - Nord-Pas-de-Calais","63 - Puy-de-Dôme","64 - Pyrénées-Atlantiques","65 - Hautes-Pyrénées","66 - Pyrénées-Orientales","67 - Bas-Rhin","68 - Haut-Rhin","69 - Rhône","70 - Haute-Saône","71 - Saône-et-Loire","72 - Sarthe","73 - Savoie","74 - Haute-Savoie","75 - Paris","76 - Seine-Maritime","77 - Seine-et-Marne","78 - Yvelines","79 - Deux-Sèvres","80 - Somme","81 - Tarn","82 - Tarn-et-Garonne","83 - Var","84 - Vaucluse","85 - Vendée","86 - Vienne","87 - Haute-Vienne","88 - Vosges","89 - Yonne","90 - Territoire de Belfort","91 - Essonne","92 - Hauts-de-Seine","93 - Seine-Saint-Denis","94 - Val-de-Marne","95 - Val-d’Oise","971 - Guadeloupe","972 - Martinique","973 - Guyane","974 - La Réunion","976 - Mayotte"
"Génétique médicale","Salariés hospitaliers",233,227,6,30,11,9,6,1,20,1,0,17,65,4,1,0,5,12,18,13,20,0,0,0,0,0,5,0,0,0,1,0,0,14,2,0,0,0,0,0,0,1,8,0,0,0,3,0,0,0,1,1,8,0,9,9,7,0,5,8,0,0,0,3,0,9,1,0,0,0,2,0,4,0,0,3,0,1,1,0,10,0,0,1,1,0,0,0,8,3,15,0,0,1,3,0,51,3,0,6,0,6,0,0,1,0,1,2,1,0,0,0,1,0,2,4,1,1,1,0,4,0
"Génétique médicale","Autres salariés",15,15,0,2,0,0,1,0,2,0,0,0,5,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Gériatrie","Ensemble des modes d'exercice",1997,1972,25,227,82,93,74,3,160,7,1,186,564,11,6,0,104,134,156,84,105,19,22,12,4,2,35,8,7,6,5,9,7,29,17,1,14,18,15,8,1,2,25,22,2,9,9,12,26,9,23,14,29,5,30,37,28,4,13,36,2,6,11,19,4,29,22,3,12,2,20,12,7,7,6,30,2,20,31,6,74,36,7,35,15,14,12,11,34,29,72,5,19,11,10,19,111,42,51,74,5,19,18,3,22,13,18,7,9,8,14,2,63,68,49,88,60,7,6,1,11,0
"Gériatrie","Libéraux exclusifs",62,56,6,5,1,2,2,0,5,1,1,3,21,3,1,0,1,2,9,1,4,1,2,1,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,2,0,1,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,1,0,1,0,0,1,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,4,2,2,1,1,1,1,3,0
"Gériatrie","Mixtes",65,65,0,11,2,2,0,0,1,0,0,5,18,0,0,0,2,4,8,3,9,1,1,0,0,0,4,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,3,1,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,5,0,0,2,0,2,6,1,1,2,0,1,0,0,1,0,0,1,0,0,0,0,3,1,1,3,1,0,0,0,0,0
"Gériatrie","Salariés hospitaliers",1491,1475,16,171,59,68,60,2,126,6,0,142,404,6,4,0,88,106,108,65,76,14,17,9,4,2,24,8,6,4,3,4,6,20,17,1,12,15,11,8,1,1,11,19,1,6,6,10,24,7,17,7,17,4,21,25,21,3,11,28,2,5,10,15,3,23,18,3,10,2,15,10,5,5,6,24,2,11,26,5,51,30,4,28,13,10,10,7,24,24,47,4,16,6,9,14,63,33,36,57,5,16,16,3,14,12,15,5,8,7,14,1,50,50,36,65,47,6,4,0,6,0
"Gériatrie","Autres salariés",379,376,3,40,20,21,12,1,28,0,0,36,121,2,1,0,13,22,31,15,16,3,2,2,0,0,5,0,1,2,1,3,1,3,0,0,1,3,4,0,0,1,13,2,0,3,2,1,2,1,4,2,9,1,7,8,6,1,2,8,0,0,1,2,1,4,3,0,2,0,5,2,2,2,0,5,0,9,4,1,22,5,2,5,1,4,1,3,8,4,19,1,2,3,1,2,35,7,14,14,0,2,1,0,7,1,3,1,1,1,0,1,6,13,10,18,11,0,1,0,2,0
"Gynécologie médicale","Ensemble des modes d'exercice",2795,2746,49,291,67,99,69,12,162,16,5,220,896,16,10,2,100,275,230,90,235,12,11,7,4,3,52,5,8,5,9,10,9,124,21,4,19,18,8,7,6,6,16,20,3,10,10,16,7,8,30,22,91,8,121,46,26,2,25,65,4,16,9,16,3,47,17,1,12,2,17,18,12,4,6,36,3,23,35,7,124,20,10,44,27,38,5,15,29,15,96,6,13,7,15,25,398,44,48,70,6,21,9,7,32,20,13,5,20,11,6,5,60,138,63,76,43,16,10,5,16,2
"Gynécologie médicale","Libéraux exclusifs",1717,1680,37,186,42,57,39,8,100,12,2,119,506,16,6,1,52,185,156,59,171,7,9,6,4,2,37,3,2,3,6,2,2,85,8,0,11,12,1,2,3,5,12,9,1,7,6,10,3,4,20,11,73,5,89,31,14,1,15,43,2,12,6,8,3,35,12,1,6,2,11,10,6,2,3,25,1,14,24,4,70,12,4,18,17,27,4,12,17,11,60,3,5,6,10,19,205,27,26,44,5,10,6,4,28,15,4,3,10,6,5,5,45,84,32,38,32,12,6,2,16,1
"Gynécologie médicale","Mixtes",557,553,4,52,13,23,14,1,36,1,1,40,204,0,2,0,30,50,39,13,38,3,2,1,0,0,11,1,4,1,0,6,5,22,9,2,5,2,5,2,1,0,2,8,2,2,3,2,3,3,2,5,6,2,17,9,7,0,4,15,1,2,0,2,0,3,2,0,4,0,3,4,3,2,1,4,1,6,7,0,18,3,3,12,4,7,1,2,9,2,16,2,5,1,3,3,111,11,12,15,0,5,1,1,2,3,5,0,7,4,0,0,6,26,7,21,6,1,2,1,0,0
"Gynécologie médicale","Salariés hospitaliers",336,332,4,40,10,18,11,1,23,1,2,47,90,0,1,0,12,34,17,18,11,2,0,0,0,1,1,1,2,1,3,1,2,5,3,1,2,3,0,2,1,0,1,3,0,1,1,3,1,1,8,2,5,0,14,2,4,1,4,7,1,2,3,5,0,9,2,0,2,0,3,3,3,0,2,5,1,3,4,2,25,4,2,12,5,3,0,1,3,1,12,1,3,0,2,2,40,3,7,7,1,6,1,2,2,2,4,2,2,1,1,0,3,17,12,3,1,1,1,2,0,0
"Gynécologie médicale","Autres salariés",185,181,4,13,2,1,5,2,3,2,0,14,96,0,1,1,6,6,18,0,15,0,0,0,0,0,3,0,0,0,0,1,0,12,1,1,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,4,7,1,1,4,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,11,1,1,2,1,1,0,0,0,1,8,0,0,0,0,1,42,3,3,4,0,0,1,0,0,0,0,0,1,0,0,0,6,11,12,14,4,2,1,0,0,1
"Gynécologie-obstétrique","Ensemble des modes d'exercice",5030,4833,197,598,168,222,161,20,455,36,29,414,1113,100,22,10,201,363,389,238,491,20,40,27,7,11,145,20,11,5,15,22,10,200,54,7,19,39,16,14,9,11,45,29,2,14,35,36,18,35,59,43,115,5,137,100,89,10,49,79,10,15,13,57,7,97,38,5,13,5,60,23,52,12,10,57,10,45,60,7,220,37,17,83,52,37,11,28,142,70,201,7,35,34,31,61,420,89,73,108,17,34,23,17,74,54,37,31,25,26,13,16,71,147,102,110,82,36,22,29,100,10
"Gynécologie-obstétrique","Libéraux exclusifs",1830,1756,74,222,41,63,53,7,162,14,11,123,350,38,10,1,48,151,196,93,247,7,9,5,0,1,83,13,0,2,6,8,1,101,17,2,7,12,3,5,3,4,15,5,0,6,12,9,3,9,16,17,62,0,66,60,29,3,21,31,1,3,6,16,2,35,11,2,7,2,21,5,24,1,2,16,3,13,19,4,75,10,0,16,18,18,3,17,53,31,85,1,5,20,8,26,125,23,25,47,6,13,9,13,41,21,15,13,8,9,2,1,26,39,29,30,29,14,10,11,38,1
"Gynécologie-obstétrique","Mixtes",1170,1155,15,127,67,51,42,2,144,4,4,101,302,6,1,0,48,70,57,37,107,4,18,8,4,1,36,1,6,1,4,1,1,38,11,2,4,7,9,3,0,2,11,7,1,4,9,9,7,7,14,11,16,2,15,11,20,3,7,8,6,6,1,16,2,17,15,1,2,1,11,4,11,3,0,8,2,10,21,2,40,13,9,26,6,10,2,0,59,23,53,4,14,5,6,12,117,17,19,37,6,4,9,1,16,12,4,8,4,7,9,12,20,39,20,22,28,4,1,4,6,0
"Gynécologie-obstétrique","Salariés hospitaliers",1922,1815,107,241,57,105,62,8,142,18,13,178,425,56,11,9,102,135,127,101,132,9,11,13,3,9,24,6,5,2,5,11,8,58,26,3,8,19,4,5,4,4,17,16,1,4,13,16,7,17,29,14,36,3,53,27,39,3,20,39,3,5,6,24,3,42,12,2,4,2,27,13,17,7,8,31,4,21,20,1,96,14,8,40,28,9,5,9,27,16,61,2,16,9,17,22,159,48,27,23,5,17,5,3,17,21,15,9,13,10,2,3,23,65,48,55,25,18,11,13,56,9
"Gynécologie-obstétrique","Autres salariés",108,107,1,8,3,3,4,3,7,0,1,12,36,0,0,0,3,7,9,7,5,0,2,1,0,0,2,0,0,0,0,2,0,3,0,0,0,1,0,1,2,1,2,1,0,0,1,2,1,2,0,1,1,0,3,2,1,1,1,1,0,1,0,1,0,3,0,0,0,0,1,1,0,1,0,2,1,1,0,0,9,0,0,1,0,0,1,2,3,0,2,0,0,0,0,1,19,1,2,1,0,0,0,0,0,0,3,1,0,0,0,0,2,4,5,3,0,0,0,1,0,0
"Hématologie","Ensemble des modes d'exercice",733,724,9,93,31,41,29,0,44,1,0,55,204,7,1,0,22,60,55,39,51,2,3,1,0,1,10,1,2,0,4,3,1,30,9,1,0,2,2,2,0,0,8,7,1,2,15,5,1,2,13,5,16,1,22,22,17,1,13,16,0,2,4,10,0,21,7,0,1,0,11,0,5,0,0,10,0,4,5,0,28,3,0,12,10,5,0,5,11,7,35,1,3,3,5,7,111,12,7,13,2,9,1,1,6,4,4,12,9,0,1,3,11,12,9,34,7,1,1,0,7,0
"Hématologie","Libéraux exclusifs",32,32,0,5,0,3,3,0,1,0,0,2,4,0,0,0,1,1,5,2,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,3,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Hématologie","Mixtes",33,33,0,1,0,0,1,0,2,0,0,4,6,0,0,0,2,4,6,1,6,0,2,0,0,0,2,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
"Hématologie","Salariés hospitaliers",633,624,9,75,30,37,25,0,38,1,0,44,189,7,1,0,18,53,41,34,40,2,1,0,0,1,8,1,2,0,3,3,1,25,8,1,0,1,2,1,0,0,8,6,0,1,14,5,1,2,13,4,13,1,19,14,14,1,10,15,0,2,3,3,0,16,7,0,1,0,11,0,5,0,0,9,0,4,5,0,21,3,0,10,10,5,0,4,7,7,28,1,3,3,3,7,106,9,6,13,2,9,1,0,3,3,4,12,9,0,1,3,11,7,8,34,4,1,1,0,7,0
"Hématologie","Autres salariés",35,35,0,12,1,1,0,0,3,0,0,5,5,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Gastro-entérologie et hépatologie","Ensemble des modes d'exercice",3842,3771,71,429,142,205,123,19,287,17,3,314,890,40,9,2,183,325,329,185,340,15,24,15,5,10,93,10,11,5,15,18,11,137,50,8,18,33,9,13,9,10,36,29,3,10,39,25,20,21,61,35,91,5,111,86,76,9,39,67,6,18,15,41,8,75,30,12,16,1,48,20,42,4,10,41,4,39,47,8,146,29,11,72,37,47,12,26,77,33,143,7,24,21,21,39,318,82,60,60,12,43,19,8,64,31,31,25,19,13,13,9,49,158,75,123,47,17,9,3,40,2
"Gastro-entérologie et hépatologie","Libéraux exclusifs",1381,1340,41,162,40,71,50,13,109,12,2,101,211,22,5,0,56,134,154,77,162,4,7,6,0,4,50,3,3,2,7,9,1,56,12,2,8,17,5,7,7,6,7,7,1,5,12,14,5,6,24,13,47,1,48,39,25,4,18,27,1,7,6,12,3,38,11,0,5,0,18,7,16,2,3,13,0,15,15,3,50,8,3,26,15,23,5,17,36,14,53,2,7,8,7,16,64,29,15,24,4,10,14,6,37,15,10,8,1,3,4,4,13,43,15,19,18,12,5,2,22,0
"Gastro-entérologie et hépatologie","Mixtes",814,810,4,85,34,30,21,2,65,0,0,64,240,1,3,0,24,56,67,36,86,8,8,4,5,2,16,1,4,1,4,3,5,39,8,4,2,3,1,3,2,0,12,7,0,3,5,2,4,4,15,12,13,0,11,22,5,3,5,16,4,7,1,12,1,8,7,4,5,1,9,4,7,1,5,12,4,3,10,2,20,9,2,13,5,8,1,2,13,9,21,1,7,4,4,7,100,6,12,21,4,14,2,1,14,10,10,3,7,1,2,1,20,29,19,29,10,0,3,0,1,0
"Gastro-entérologie et hépatologie","Salariés hospitaliers",1531,1506,25,172,61,102,49,2,105,5,1,135,402,16,1,2,98,125,100,71,84,2,8,5,0,4,26,6,3,2,4,6,5,39,30,1,8,11,3,3,0,2,15,14,2,2,19,8,9,11,22,10,28,4,47,23,45,1,16,23,1,3,8,16,3,29,10,8,6,0,21,8,17,1,2,16,0,21,22,3,63,12,6,33,17,14,5,5,25,8,65,4,9,8,10,16,145,45,32,13,4,19,3,1,10,5,11,14,11,9,6,4,12,74,36,71,19,5,1,1,16,2
"Gastro-entérologie et hépatologie","Autres salariés",116,115,1,10,7,2,3,2,8,0,0,14,37,1,0,0,5,10,8,1,8,1,1,0,0,0,1,0,1,0,0,0,0,3,0,1,0,2,0,0,0,2,2,1,0,0,3,1,2,0,0,0,3,0,5,2,1,1,0,1,0,1,0,1,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,13,0,0,0,0,2,1,2,3,2,4,0,1,1,0,0,9,2,1,2,0,0,0,0,3,1,0,0,0,0,1,0,4,12,5,4,0,0,0,0,1,0
"Médecine du travail","Ensemble des modes d'exercice",5291,5196,95,670,188,255,157,19,450,23,5,418,1251,41,25,1,201,418,428,296,445,36,27,12,9,10,98,20,22,5,22,13,12,223,50,6,29,37,18,14,9,10,51,33,6,25,40,56,23,13,72,50,153,10,127,100,99,6,58,105,13,20,20,53,6,133,42,6,19,5,77,26,49,4,11,68,3,51,70,10,250,29,11,81,73,53,14,24,140,62,214,11,40,29,35,54,504,91,85,103,13,31,26,10,70,35,46,41,34,10,15,8,71,240,87,89,72,23,25,5,41,1
"Médecine du travail","Libéraux exclusifs",41,40,1,1,0,0,1,0,5,0,0,1,15,1,0,0,3,1,3,3,7,0,0,0,0,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,8,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0
"Médecine du travail","Mixtes",15,15,0,2,0,0,0,0,0,0,0,1,2,0,0,0,2,0,6,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Médecine du travail","Salariés hospitaliers",533,524,9,66,19,28,11,2,36,1,1,50,126,5,2,0,28,48,38,31,41,2,2,1,2,0,6,0,0,0,1,1,5,26,9,2,3,6,1,3,1,1,6,6,0,3,4,4,1,0,8,2,15,1,13,7,9,0,4,11,0,3,2,5,0,12,4,1,2,1,11,2,6,0,0,8,1,5,2,0,39,1,2,3,12,5,0,1,14,4,22,0,5,3,3,4,65,14,3,6,1,5,3,1,5,2,5,5,4,0,3,1,5,20,7,16,4,1,2,1,5,0
"Médecine du travail","Autres salariés",4702,4617,85,601,169,227,145,17,409,22,4,366,1108,35,23,1,168,369,381,261,396,34,25,11,7,10,89,20,21,5,21,11,7,192,39,4,26,31,17,11,8,9,45,27,6,22,36,51,20,13,64,47,138,9,113,89,90,6,53,94,13,17,18,48,6,120,38,5,17,4,66,24,43,4,11,60,2,46,68,10,210,27,9,78,61,48,13,22,123,57,190,11,35,26,32,50,431,76,82,96,12,26,23,8,65,33,38,36,30,10,12,7,66,214,79,72,68,22,23,4,35,1
"Médecine interne","Ensemble des modes d'exercice",2466,2414,52,289,95,95,79,7,230,10,7,149,700,22,10,3,95,202,199,98,176,8,12,13,5,12,44,6,6,3,3,2,7,83,22,5,7,20,7,3,3,4,37,14,1,8,15,23,9,7,31,17,53,5,81,71,34,5,25,45,2,6,10,30,3,45,25,4,11,0,25,11,28,1,5,37,3,16,27,7,79,16,1,16,31,17,6,16,80,32,93,5,14,10,12,20,368,52,22,29,8,26,10,5,20,12,13,20,20,13,7,8,34,92,53,85,17,10,10,7,22,3
"Médecine interne","Libéraux exclusifs",214,212,2,24,2,3,4,2,12,0,0,13,73,1,1,0,5,17,18,9,30,0,1,0,0,1,10,0,0,0,0,0,0,11,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,3,2,0,9,10,2,1,1,3,0,0,0,1,0,5,2,0,0,0,2,1,0,0,0,2,0,0,2,0,6,3,0,3,1,5,0,2,6,2,17,0,0,2,0,1,40,4,1,5,0,0,0,1,6,2,0,1,0,0,1,0,9,9,3,4,2,0,1,0,1,0
"Médecine interne","Mixtes",145,143,2,12,5,4,4,0,17,0,0,16,44,1,1,0,1,7,15,2,16,1,1,0,1,1,3,0,0,0,0,0,1,8,1,1,0,4,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,1,2,11,2,1,1,1,0,0,1,1,0,2,1,0,0,0,0,0,4,0,0,2,0,2,2,1,8,2,0,3,3,0,0,0,7,2,2,1,1,0,0,0,27,0,3,0,1,2,0,0,2,1,0,0,0,0,1,0,2,5,5,2,0,0,1,0,1,0
"Médecine interne","Salariés hospitaliers",1958,1912,46,237,80,85,68,4,191,10,7,109,535,19,7,3,83,164,152,86,118,6,10,12,2,10,27,5,6,3,3,2,6,58,20,3,5,15,6,2,1,3,31,13,1,7,13,19,9,6,28,13,47,4,63,43,30,3,23,41,2,6,9,26,2,37,21,4,11,0,23,10,23,1,5,31,3,14,23,6,58,8,1,9,26,11,6,10,64,25,67,3,13,8,12,18,272,43,16,24,7,24,10,4,12,9,13,19,17,12,5,7,19,72,41,78,13,10,7,7,19,3
"Médecine interne","Autres salariés",149,147,2,16,8,3,3,1,10,0,0,11,48,1,1,0,6,14,14,1,12,1,0,1,2,0,4,1,0,0,0,0,0,6,1,0,0,1,1,1,0,1,5,1,0,1,1,1,0,1,2,0,3,0,7,7,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,7,3,0,1,1,1,0,4,3,3,7,1,0,0,0,1,29,5,2,0,0,0,0,0,0,0,0,0,3,1,0,1,4,6,4,1,2,0,1,0,1,0
"Médecine nucléaire","Ensemble des modes d'exercice",750,740,10,83,30,36,29,2,58,4,0,76,168,4,2,0,30,60,68,43,57,0,3,1,0,1,19,0,1,0,2,3,2,26,14,2,4,2,4,3,2,0,11,5,0,2,7,5,1,1,12,7,25,0,23,21,14,2,10,9,0,2,0,11,0,21,12,0,3,0,12,1,7,2,0,16,0,5,9,1,42,6,0,16,12,7,2,4,14,5,29,1,6,7,5,9,67,14,6,6,2,9,4,0,7,4,3,8,4,2,1,3,12,24,19,26,8,4,2,0,4,0
"Médecine nucléaire","Libéraux exclusifs",215,215,0,29,10,11,12,0,11,0,0,33,36,0,0,0,10,17,19,11,16,0,2,0,0,1,8,0,0,0,0,0,1,6,2,2,0,1,3,3,0,0,4,0,0,2,2,0,1,1,2,2,10,0,7,6,5,1,2,3,0,0,0,4,0,7,5,0,0,0,1,1,2,1,0,4,0,4,0,0,18,4,0,6,3,0,0,0,1,1,11,1,2,3,0,6,6,6,5,1,2,3,0,0,0,1,0,2,0,2,1,0,2,9,7,2,4,0,0,0,0,0
"Médecine nucléaire","Mixtes",216,212,4,22,11,14,14,2,27,1,0,15,29,1,2,0,2,24,21,13,18,0,0,1,0,0,3,0,1,0,2,0,1,9,2,0,3,1,1,0,2,0,1,4,0,0,2,4,0,0,8,3,6,0,5,4,1,1,6,3,0,1,0,1,0,7,6,0,3,0,4,0,1,0,0,6,0,1,7,1,5,0,0,8,0,6,2,2,6,4,6,0,4,2,4,3,8,0,1,2,0,2,3,0,3,3,0,2,3,0,0,3,2,5,6,1,4,1,2,0,1,0
"Médecine nucléaire","Salariés hospitaliers",303,297,6,31,9,10,2,0,19,3,0,28,94,3,0,0,17,18,27,19,23,0,1,0,0,0,8,0,0,0,0,3,0,11,10,0,1,0,0,0,0,0,6,1,0,0,3,0,0,0,2,2,9,0,10,10,7,0,1,3,0,1,0,6,0,7,1,0,0,0,7,0,4,0,0,6,0,0,2,0,19,2,0,2,9,1,0,2,7,0,12,0,0,2,1,0,51,7,0,3,0,4,1,0,4,0,3,4,1,0,0,0,3,9,6,22,0,3,0,0,3,0
"Médecine nucléaire","Autres salariés",16,16,0,1,0,1,1,0,1,0,0,0,9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0
"Médecine physique et réadaptation","Ensemble des modes d'exercice",2239,2186,53,271,69,146,58,10,223,12,2,193,384,24,15,0,77,185,261,96,213,18,12,12,11,4,33,4,6,2,9,10,8,90,23,3,8,16,6,6,6,4,19,24,5,7,15,14,9,7,39,34,61,5,70,81,49,8,20,45,6,15,6,31,1,41,11,3,6,2,20,19,20,6,6,35,5,34,40,5,91,21,5,49,16,26,16,24,48,44,82,9,9,18,20,25,122,21,32,35,10,20,13,2,55,20,11,5,11,10,3,3,20,59,34,53,29,12,15,2,24,0
"Médecine physique et réadaptation","Libéraux exclusifs",307,300,7,33,7,12,3,4,33,1,2,10,40,2,2,0,5,44,55,8,46,1,0,3,4,0,9,1,0,1,0,2,3,17,2,0,1,0,0,1,2,2,2,3,1,3,2,2,1,0,4,6,14,1,31,18,2,1,2,3,0,0,0,4,1,3,0,0,1,0,3,0,1,0,0,1,1,3,5,1,5,1,0,3,1,5,5,0,14,10,11,0,2,2,5,1,23,2,2,4,1,1,5,0,10,6,0,0,0,1,0,0,1,7,2,1,0,1,2,2,2,0
"Médecine physique et réadaptation","Mixtes",157,157,0,20,5,9,2,0,13,0,0,12,29,0,0,0,4,11,21,3,28,0,2,1,2,0,4,1,0,1,1,3,0,16,2,1,1,3,1,0,0,0,0,0,0,0,2,1,1,0,1,2,5,0,3,8,4,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,3,0,0,1,1,4,2,0,7,2,0,1,0,2,0,2,4,1,12,1,1,0,2,1,14,1,0,2,0,0,0,0,2,4,1,0,0,0,0,1,1,8,0,1,3,0,0,0,0,0
"Médecine physique et réadaptation","Salariés hospitaliers",1474,1434,40,185,40,113,47,6,141,10,0,138,256,18,12,0,56,105,157,78,112,13,10,6,2,3,18,1,5,0,3,4,4,45,15,2,6,10,5,5,4,2,9,20,4,3,8,11,6,6,30,23,36,3,29,49,37,7,14,34,6,11,6,26,0,30,9,2,3,0,17,17,15,5,6,28,3,26,26,4,53,16,1,42,12,10,8,20,25,26,51,4,5,15,10,19,69,17,26,28,9,17,6,2,38,6,10,5,10,5,2,2,15,37,17,39,25,10,12,0,18,0
"Médecine physique et réadaptation","Autres salariés",301,295,6,33,17,12,6,0,36,1,0,33,59,4,1,0,12,25,28,7,27,4,0,2,3,1,2,1,1,0,5,1,1,12,4,0,0,3,0,0,0,0,8,1,0,1,3,0,1,1,4,3,6,1,7,6,6,0,3,7,0,2,0,1,0,6,2,1,2,2,0,2,1,1,0,5,0,1,7,0,26,2,4,3,3,9,3,2,5,7,8,4,1,1,3,4,16,1,4,1,0,2,2,0,5,4,0,0,1,4,1,0,3,7,15,12,1,1,1,0,4,0
